# 6-DOF UR5 robot arm csv file for V-REP animation.
# All lines beginning with # are treated as a comment and ignored.
# Each line below is of the form
# jt1ang, jt2ang, jt3ang, jt4ang, jt5ang, jt6ang
# where each joint angle is expressed in radians.
-3.693219,0.612991,-1.725559,1.116494,-0.553816,-1.576634
-3.69331,0.613051,-1.725592,1.116373,-0.553854,-1.576493
-3.693393,0.613105,-1.725622,1.116263,-0.553889,-1.576365
-3.693468,0.613154,-1.725649,1.116163,-0.55392,-1.576249
-3.693536,0.613199,-1.725674,1.116072,-0.553949,-1.576144
-3.693597,0.613239,-1.725696,1.11599,-0.553974,-1.576049
-3.693653,0.613276,-1.725716,1.115916,-0.553998,-1.575962
-3.693703,0.613308,-1.725734,1.115849,-0.554019,-1.575885
-3.693748,0.613338,-1.725751,1.115789,-0.554038,-1.575814
-3.693789,0.613365,-1.725766,1.115734,-0.554055,-1.575751
-3.693826,0.613389,-1.725779,1.115684,-0.554071,-1.575693
-3.69386,0.613411,-1.725791,1.11564,-0.554085,-1.575642
-3.69389,0.613431,-1.725802,1.115599,-0.554097,-1.575595
-3.693918,0.613449,-1.725812,1.115563,-0.554109,-1.575552
-3.693943,0.613466,-1.725821,1.115529,-0.554119,-1.575513
-3.693966,0.613481,-1.72583,1.115499,-0.554129,-1.575478
-3.693986,0.613494,-1.725837,1.115471,-0.554138,-1.575446
-3.694006,0.613507,-1.725844,1.115445,-0.554146,-1.575416
-3.694024,0.613519,-1.725851,1.115421,-0.554153,-1.575388
-3.69404,0.61353,-1.725857,1.115399,-0.55416,-1.575362
-3.694056,0.61354,-1.725863,1.115378,-0.554167,-1.575338
-3.694072,0.61355,-1.725868,1.115357,-0.554173,-1.575314
-3.694086,0.61356,-1.725873,1.115338,-0.55418,-1.575291
-3.694101,0.613569,-1.725879,1.115318,-0.554186,-1.575269
-3.694115,0.613579,-1.725884,1.115299,-0.554192,-1.575246
-3.69413,0.613588,-1.725889,1.11528,-0.554198,-1.575224
-3.694145,0.613598,-1.725895,1.11526,-0.554204,-1.575201
-3.69416,0.613608,-1.7259,1.115239,-0.55421,-1.575177
-3.694176,0.613618,-1.725906,1.115218,-0.554217,-1.575153
-3.694192,0.613629,-1.725912,1.115196,-0.554224,-1.575127
-3.694209,0.61364,-1.725918,1.115174,-0.554231,-1.575101
-3.694228,0.613652,-1.725925,1.115149,-0.554239,-1.575073
-3.694247,0.613665,-1.725931,1.115124,-0.554247,-1.575043
-3.694267,0.613678,-1.725939,1.115097,-0.554255,-1.575012
-3.694288,0.613692,-1.725946,1.115069,-0.554264,-1.57498
-3.69431,0.613706,-1.725954,1.11504,-0.554273,-1.574945
-3.694333,0.613722,-1.725963,1.115009,-0.554283,-1.574909
-3.694358,0.613738,-1.725972,1.114976,-0.554293,-1.574871
-3.694383,0.613754,-1.725981,1.114942,-0.554304,-1.574832
-3.69441,0.613772,-1.725991,1.114906,-0.554315,-1.57479
-3.694438,0.61379,-1.726001,1.114869,-0.554327,-1.574747
-3.694467,0.613809,-1.726011,1.11483,-0.554339,-1.574702
-3.694498,0.613829,-1.726022,1.114789,-0.554352,-1.574655
-3.694529,0.61385,-1.726034,1.114748,-0.554365,-1.574607
-3.694561,0.613871,-1.726045,1.114704,-0.554379,-1.574557
-3.694595,0.613893,-1.726057,1.11466,-0.554393,-1.574505
-3.694629,0.613915,-1.72607,1.114614,-0.554407,-1.574452
-3.694664,0.613938,-1.726082,1.114568,-0.554422,-1.574398
-3.6947,0.613962,-1.726095,1.11452,-0.554437,-1.574342
-3.694736,0.613986,-1.726109,1.114471,-0.554452,-1.574286
-3.694774,0.61401,-1.726122,1.114421,-0.554468,-1.574228
-3.694812,0.614035,-1.726136,1.114371,-0.554484,-1.57417
-3.69485,0.61406,-1.72615,1.11432,-0.5545,-1.57411
-3.694889,0.614085,-1.726164,1.114268,-0.554516,-1.57405
-3.694928,0.614111,-1.726178,1.114216,-0.554533,-1.57399
-3.694967,0.614137,-1.726192,1.114163,-0.554549,-1.573929
-3.695007,0.614163,-1.726206,1.11411,-0.554566,-1.573868
-3.695047,0.614189,-1.726221,1.114057,-0.554583,-1.573806
-3.695087,0.614215,-1.726235,1.114004,-0.554599,-1.573744
-3.695126,0.614241,-1.726249,1.113951,-0.554616,-1.573683
-3.695166,0.614267,-1.726264,1.113898,-0.554633,-1.573621
-3.695206,0.614293,-1.726278,1.113845,-0.55465,-1.57356
-3.695245,0.614319,-1.726292,1.113792,-0.554666,-1.573499
-3.695285,0.614344,-1.726307,1.11374,-0.554683,-1.573438
-3.695324,0.61437,-1.726321,1.113688,-0.554699,-1.573378
-3.695362,0.614395,-1.726335,1.113636,-0.554715,-1.573318
-3.695401,0.61442,-1.726348,1.113585,-0.554731,-1.573259
-3.695439,0.614445,-1.726362,1.113535,-0.554747,-1.573201
-3.695476,0.614469,-1.726376,1.113485,-0.554763,-1.573143
-3.695513,0.614494,-1.726389,1.113436,-0.554779,-1.573086
-3.695549,0.614517,-1.726402,1.113387,-0.554794,-1.573029
-3.695585,0.614541,-1.726415,1.113339,-0.554809,-1.572974
-3.695621,0.614564,-1.726428,1.113292,-0.554824,-1.572919
-3.695655,0.614587,-1.72644,1.113246,-0.554838,-1.572866
-3.695689,0.614609,-1.726452,1.113201,-0.554853,-1.572813
-3.695723,0.614631,-1.726465,1.113156,-0.554867,-1.572761
-3.695756,0.614653,-1.726476,1.113112,-0.554881,-1.57271
-3.695788,0.614674,-1.726488,1.113069,-0.554894,-1.572661
-3.69582,0.614694,-1.726499,1.113027,-0.554908,-1.572612
-3.695851,0.614715,-1.726511,1.112986,-0.554921,-1.572564
-3.695881,0.614734,-1.726521,1.112945,-0.554934,-1.572517
-3.695911,0.614754,-1.726532,1.112906,-0.554946,-1.572471
-3.69594,0.614773,-1.726543,1.112867,-0.554958,-1.572427
-3.695968,0.614791,-1.726553,1.112829,-0.55497,-1.572383
-3.695996,0.614809,-1.726563,1.112792,-0.554982,-1.57234
-3.696023,0.614827,-1.726573,1.112756,-0.554993,-1.572298
-3.696049,0.614844,-1.726582,1.112721,-0.555004,-1.572257
-3.696075,0.614861,-1.726591,1.112687,-0.555015,-1.572218
-3.6961,0.614878,-1.7266,1.112653,-0.555026,-1.572179
-3.696125,0.614894,-1.726609,1.11262,-0.555036,-1.572141
-3.696149,0.614909,-1.726618,1.112589,-0.555046,-1.572104
-3.696172,0.614924,-1.726626,1.112558,-0.555056,-1.572068
-3.696195,0.614939,-1.726634,1.112527,-0.555066,-1.572033
-3.696217,0.614954,-1.726642,1.112498,-0.555075,-1.571999
-3.696238,0.614968,-1.72665,1.112469,-0.555084,-1.571966
-3.696259,0.614982,-1.726658,1.112441,-0.555093,-1.571933
-3.69628,0.614995,-1.726665,1.112414,-0.555101,-1.571902
-3.6963,0.615008,-1.726672,1.112387,-0.55511,-1.571871
-3.696319,0.615021,-1.726679,1.112362,-0.555118,-1.571841
-3.696338,0.615033,-1.726686,1.112336,-0.555126,-1.571812
-3.696356,0.615045,-1.726692,1.112312,-0.555134,-1.571784
-3.696374,0.615056,-1.726699,1.112288,-0.555141,-1.571756
-3.696392,0.615068,-1.726705,1.112265,-0.555149,-1.571729
-3.696408,0.615079,-1.726711,1.112243,-0.555156,-1.571703
-3.696425,0.61509,-1.726717,1.112221,-0.555163,-1.571678
-3.696441,0.6151,-1.726723,1.112199,-0.555169,-1.571653
-3.696456,0.61511,-1.726728,1.112179,-0.555176,-1.571629
-3.696472,0.61512,-1.726734,1.112158,-0.555182,-1.571606
-3.696486,0.61513,-1.726739,1.112139,-0.555188,-1.571583
-3.696501,0.615139,-1.726744,1.11212,-0.555195,-1.571561
-3.696514,0.615148,-1.726749,1.112101,-0.5552,-1.57154
-3.696528,0.615157,-1.726754,1.112083,-0.555206,-1.571519
-3.696541,0.615165,-1.726759,1.112066,-0.555212,-1.571498
-3.696554,0.615174,-1.726763,1.112049,-0.555217,-1.571479
-3.696566,0.615182,-1.726768,1.112032,-0.555222,-1.57146
